OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
206,Los Angeles - Vernon Central,399,65,464,Los Angeles Homeless Services Authority (LAHSA),2.28088312785505,174.932242308803,28.4977337094541,203.429976018257,8616823.6953125,14798.9561764667
207,Los Angeles - Victoria Park,25,2,27,Los Angeles Homeless Services Authority (LAHSA),0.403016302619209,62.0322300550241,4.96257840440193,66.9948084594261,1524113.04296875,5906.15821393936
208,Los Angeles - View Heights,32,0,32,Los Angeles Homeless Services Authority (LAHSA),0.456178621493652,70.147960672123,0,70.147960672123,1722751.38671875,6678.11945790219
209,Los Angeles - Watts,126,123,249,Los Angeles Homeless Services Authority (LAHSA),2.00062010737672,62.9804726721533,61.4809376085306,124.461410280684,7547236.046875,13020.3158440329
210,Los Angeles - Wellington Square,22,44,66,Los Angeles Homeless Services Authority (LAHSA),0.351189897435453,62.6441710329765,125.288342065953,187.93251309893,1327859.15234375,5105.18392958685
211,Los Angeles - West Adams,107,0,107,Los Angeles Homeless Services Authority (LAHSA),1.46373799142294,73.1005143181276,0,73.1005143181276,5534409.73046875,12793.5274642246
212,Los Angeles - West Hills,63,0,63,Los Angeles Homeless Services Authority (LAHSA),10.7426510850665,5.86447418808725,0,5.86447418808725,40785505.1367188,40469.0120982194
213,Los Angeles - West Los Angeles,364,0,364,Los Angeles Homeless Services Authority (LAHSA),2.13793963980334,170.257379218378,0,170.257379218378,8084566.94140625,13381.7527802886
214,Los Angeles - West Vernon,302,392,694,Los Angeles Homeless Services Authority (LAHSA),2.69462375397999,112.075015873345,145.474855040898,257.549870914243,10179790.9101563,19200.3631316227
215,Los Angeles - Westchester,370,8,378,Los Angeles Homeless Services Authority (LAHSA),12.9378386404457,28.5982852532511,0.618341302772996,29.2166265560241,48821334.1875,42282.0701675587
216,Los Angeles - Westlake,565,230,795,Los Angeles Homeless Services Authority (LAHSA),1.14939305276722,491.563785460278,200.10561178029,691.669397240569,4348101.3125,9383.75368891274
217,Los Angeles - Westwood,210,0,210,Los Angeles Homeless Services Authority (LAHSA),3.72036835209332,56.4460236529645,0,56.4460236529645,14076942.4492188,18758.4485470099
218,Los Angeles - Wholesale District,2598,2287,4885,Los Angeles Homeless Services Authority (LAHSA),6.41430280207212,405.032328558097,356.546934338864,761.579262896961,24256071.890625,28314.5988051498
219,Los Angeles - Wilmington,510,35,545,Los Angeles Homeless Services Authority (LAHSA),7.16866161674531,71.1429869710531,4.88236185095462,76.0253488220077,26944346.7226563,37241.1248098295
220,Los Angeles - Wilshire Center,330,0,330,Los Angeles Homeless Services Authority (LAHSA),1.29041678132233,255.731330200029,0,255.731330200029,4882885.53515625,14728.7039228911
221,Los Angeles - Winnetka,112,0,112,Los Angeles Homeless Services Authority (LAHSA),5.47416949521274,20.459724547796,0,20.459724547796,20786413.6875,23277.6819054418
222,Los Angeles - Woodland Hills,90,0,90,Los Angeles Homeless Services Authority (LAHSA),13.1229346392996,6.85822207255949,0,6.85822207255949,49770179.625,40185.3903470062
223,Unincorporated - Acton,80,0,80,Los Angeles Homeless Services Authority (LAHSA),67.6896436863098,1.18186469367071,0,1.18186469367071,258703909.378906,91492.3773050484
224,Unincorporated - Agua Dulce,9,0,9,Los Angeles Homeless Services Authority (LAHSA),45.2206927417699,0.199023930292133,0,0.199023930292133,172873718.742188,77121.7895155343
225,Unincorporated - Altadena,41,8,49,Los Angeles Homeless Services Authority (LAHSA),9.02089505393591,4.54500354508739,0.886829960017051,5.43183350510444,34236399.453125,36728.6346150306
226,Unincorporated - Anaverde,0,0,0,Los Angeles Homeless Services Authority (LAHSA),11.2873977911278,0,0,0,43188828.6914063,29858.8693349345
227,Unincorporated - Angeles National Forest,0,0,0,Los Angeles Homeless Services Authority (LAHSA),701.774689505736,0,0,0,2671701314.27344,324779.529497964
228,Unincorporated - Arcadia,36,0,36,Los Angeles Homeless Services Authority (LAHSA),1.4774179796723,24.3668349074681,0,24.3668349074681,5595565.0078125,12499.8267509075
229,Unincorporated - Athens-Westmont,119,25,144,Los Angeles Homeless Services Authority (LAHSA),2.84349857625228,41.8498539066763,8.79198611484796,50.6418400215243,10725703.1132813,19333.9152269589
230,Unincorporated - Athens Village,52,0,52,Los Angeles Homeless Services Authority (LAHSA),0.449350352779738,115.722619729397,0,115.722619729397,1694324.5859375,5821.54754439433
